### 1. Диаграмма распределения тестовых баллов участников ЕГЭ по предмету в 2025 г.

|Тестовый балл|Количество участников|
|-|-|
| 0 | 7 |
| 6 | 21 |
| 11 | 40 |
| 17 | 58 |
| 22 | 126 |
| 27 | 157 |
| 34 | 189 |
| 40 | 230 |
| 46 | 296 |
| 52 | 379 |
| 58 | 413 |
| 64 | 463 |
| 70 | 356 |
| 72 | 227 |
| 74 | 326 |
| 76 | 172 |
| 78 | 197 |
| 80 | 111 |
| 82 | 95 |
| 84 | 94 |
| 86 | 53 |### 1.9. Динамика результатов ЕГЭ по предмету за последние 3 года


### 2. Динамика результатов ЕГЭ по предмету за последние 3 года

| № | Показатель | 2023 г. | 2024 г. | 2025 г. |
|---|------------|--------:|--------:|--------:|
| 1 | ниже минимального балла, % | 8,7 | 5,9 | 6,1 |
| 2 | от минимального балла до 60 баллов, % | 46,6 | 38,8 | 40,0 |
| 3 | от 61 до 80 баллов, % | 41,4 | 40,5 | 44,5 |
| 4 | от 81 до 100 баллов, % | 3,3 | 14,8 | 9,4 |
| 5 | Средний тестовый балл | 53,7 | 60,9 | 59,6 |


### 3. Результаты по категориям участников

| № | Категория | ниже минимального | до 60 | 61–80 | 81–100 |
|---|-----------|------------------:|------:|------:|-------:|
| 1 | ВТГ, обучающиеся по программам СОО | 6,1 | 40,0 | 44,5 | 9,4 |
| 2 | ВТГ, обучающиеся по программам СПО | 0 | 0 | 0 | 0 |
| 3 | ВПЛ | 0 | 0 | 0 | 0 |
| 4 | Участники экзамена с ОВЗ | 7,0 | 37,2 | 37,2 | 18,6 |


### 4. Результаты по типам ОО

| № | Тип ОО | Кол-во | ниже минимального | до 60 | 61–80 | 81–100 |
|---|--------|-------:|------------------:|------:|------:|-------:|
| 1 | Средняя общеобразовательная школа | 3136 | 7,0 | 43,3 | 43,0 | 6,8 |
| 2 | Средняя общеобразовательная школа с углубленным изучением отдельных предметов | 17 | 5,9 | 52,9 | 41,2 | — |
| 3 | Гимназия | 605 | 3,3 | 30,2 | 50,2 | 16,2 |
| 4 | Лицей | 319 | 2,2 | 30,4 | 48,6 | 18,8 |
| 5 | Вечерняя (сменная) общеобразовательная школа | 10 | 50,0 | 40,0 | 10,0 | — |
| 6 | Президентское кадетское училище | 71 | 1,4 | 16,9 | 53,5 | 28,2 |


### 5. Результаты по полу

| № | Пол | Кол-во | ниже минимального | до 60 | 61–80 | 81–100 |
|---|-----|-------:|------------------:|------:|------:|-------:|
| 1 | женский | 1586 | 5,4 | 35,2 | 50,3 | 9,1 |
| 2 | мужской | 2572 | 6,5 | 43,0 | 41,0 | 9,5 |


### 7. Результаты по АТЕ

| № | АТЕ | Кол-во | ниже минимального | до 60 | 61–80 | 81–100 |
|---|-----|-------:|------------------:|------:|------:|-------:|
| 1 | 201 - г.Тюмень | 2970 | 5,9 | 38,7 | 44,5 | 10,9 |
| 2 | Абатский район | 18 | 55,6 | 38,9 | 5,6 | — |
| 3 | Армизонский район | 8 | 12,5 | 50,0 | 37,5 | — |
| 4 | Аромашевский район | 6 | 50,0 | 50,0 | — | — |
| 5 | Бердюжский район | 19 | 10,5 | 21,1 | 68,4 | — |
| 6 | Вагайский район | 11 | 18,2 | 63,6 | 18,2 | — |
| 7 | Викуловский район | 17 | 5,9 | 41,2 | 52,9 | — |
| 8 | Голышмановский район | 30 | 10,0 | 63,3 | 26,7 | — |
| 9 | Заводоуковский район | 77 | 7,8 | 51,9 | 37,7 | 2,6 |
| 10 | Исетский район | 37 | 5,4 | 40,5 | 51,4 | 2,7 |
| 11 | Ишимский район | 30 | 33,3 | 63,3 | 3,3 | — |
| 12 | Казанский район | 41 | 4,9 | 56,1 | 36,6 | 2,4 |
| 13 | Нижнетавдинский район | 21 | 19,0 | 28,6 | 47,6 | 4,8 |
| 14 | Омутинский район | 18 | 22,2 | 72,2 | 5,6 | — |
| 15 | Сладковский район | 14 | 64,3 | 28,6 | 7,1 | — |
| 16 | Сорокинский район | 8 | 12,5 | 87,5 | — | — |
| 17 | Тобольский район | 17 | 52,9 | 47,1 | — | — |
| 18 | Тюменский район | 239 | 8,4 | 46,0 | 37,2 | 8,4 |
| 19 | Уватский район | 35 | 45,7 | 48,6 | 5,7 | — |
| 20 | Упоровский район | 23 | 21,7 | 43,5 | 26,1 | 8,7 |
| 21 | Юргинский район | 19 | 5,3 | 36,8 | 42,1 | 15,8 |
| 22 | Ялуторовский район | 9 | 11,1 | 66,7 | 22,2 | — |
| 23 | Ярковский район | 16 | 37,5 | 50,0 | 12,5 | — |
| 24 | г.Тобольск | 283 | 8,1 | 43,5 | 42,4 | 6,0 |
| 25 | г.Ишим | 137 | 1,5 | 34,3 | 57,7 | 6,6 |
| 26 | г.Ялуторовск | 55 | 5,5 | 32,7 | 58,2 | 3,6 |


### 8. Высокие результаты

| № | ОО | Кол-во | 81–100 | 61–80 | до 60 | ниже |
|---|----|-------:|-------:|------:|------:|------:|
| 1 | ГАОУ ТО "ФМШ" | 42 | 92,9 | 7,1 | — | — |
| 2 | Лицей ТИУ | 99 | 40,4 | 52,5 | 7,1 | — |
| 3 | Гимназия №16 | 95 | 35,8 | 50,5 | 12,6 | 1,1 |
| 4 | Гимназия №21 | 39 | 28,2 | 71,8 | — | — |
| 5 | Тюменское ПКУ | 71 | 28,2 | 53,5 | 16,9 | 1,4 |
| 6 | Юргинская СОШ | 12 | 25,0 | 50,0 | 25,0 | — |
| 7 | Боровская СОШ | 32 | 25,0 | 34,4 | 37,5 | 3,1 |
| 8 | ИГОЛ им. Лукьянец | 20 | 20,0 | 70,0 | 10,0 | — |
| 9 | Гимназия им. Лицмана | 35 | 20,0 | 48,6 | 28,6 | 2,9 |
| 10 | Гимназия ТюмГУ | 74 | 18,9 | 70,3 | 10,8 | — |
| 11 | Каскаринская СОШ | 11 | 18,2 | 54,5 | 27,3 | — |
| 12 | Лицей г.Тобольска | 11 | 18,2 | 45,5 | 36,4 | — |
| 13 | Гимназия №1 | 66 | 16,7 | 47,0 | 34,8 | 1,5 |
| 14 | СОШ №25 | 64 | 15,6 | 56,2 | 26,6 | 1,6 |


### 9. Низкие результаты

| № | ОО | Кол-во | ниже | до 60 | 61–80 | 81–100 |
|---|----|-------:|------:|------:|------:|-------:|
| 1 | СОШ №7 г.Тобольска | 11 | 36,4 | 45,5 | 18,2 | — |
| 2 | Нижнетавдинская СОШ | 11 | 36,4 | 18,2 | 45,5 | — |
| 3 | Кулаковская СОШ | 11 | 27,3 | 45,5 | 27,3 | — |
| 4 | СОШ №26 Тюмени | 30 | 20,0 | 56,7 | 16,7 | 6,7 |
| 5 | Луговская СОШ | 11 | 18,2 | 54,5 | 27,3 | — |
| 6 | СОШ №95 Тюмени | 40 | 17,5 | 67,5 | 15,0 | — |
| 7 | Богандинская СОШ №2 | 18 | 16,7 | 61,1 | 22,2 | — |
| 8 | Ембаевская СОШ | 13 | 15,4 | 38,5 | 46,2 | — |
| 9 | СОШ №38 Тюмени | 20 | 15,0 | 35,0 | 40,0 | 10,0 |
| 10 | СОШ №18 Тобольска | 21 | 14,3 | 42,9 | 42,9 | — |
| 11 | СОШ №48 Тюмени | 94 | 12,8 | 41,5 | 38,3 | 7,4 |
| 12 | СОШ с.Бердюжье | 17 | 11,8 | 23,5 | 64,7 | — |
| 13 | СОШ №1 г.Ялуторовска | 26 | 11,5 | 23,1 | 65,4 | — |
| 14 | СОШ №69 Тюмени | 61 | 11,5 | 34,4 | 49,2 | 4,9 |
