### 1. Содержательный анализ выполнения задания, проверяющего умение "уметь выполнять действия с геометрическими фигурами, координатами и векторами":

| год | Номер задания в КИМ | Уровень сложности задания | средний, % | не преодолели минимум, % | до 60 т.б., % | 61–80 т.б., % | 81–100 т.б., % |
|-----|----------------------|----------------------------|-----------:|--------------------------:|--------------:|--------------:|---------------:|
| 2025 | 1   | Б | 64,7 | 11,1 | 43,2 | 84,7 | 95,6 |
| 2024 | 1   | Б | 82,1 | 27,3 | 73,7 | 91,9 | 99,2 |
| 2023 | 1.  | Б | 88,4 | 37,1 | 84,2 | 96,1 | 98,4 |
| 2025 | 2   | Б | 93,8 | 57,1 | 92,6 | 98,7 | 99,0 |
| 2024 | 2   | Б | 86   | 28,3 | 79,6 | 95,8 | 98,8 |
| 2025 | 3   | Б | 81,1 | 17,9 | 69,3 | 96,7 | 98,7 |
| 2024 | 3   | Б | 67,3 | 9,6  | 49,7 | 82,1 | 96   |
| 2023 | 2.  | Б | 90,4 | 41,9 | 87,1 | 97,1 | 99,2 |


### 2. Содержательный анализ выполнения задания, проверяющего умение "уметь строить и исследовать простейшие математические модели":

| год | Номер задания в КИМ | Уровень сложности задания | средний, % | не преодолели минимум, % | до 60 т.б., % | 61–80 т.б., % | 81–100 т.б., % |
|-----|----------------------|----------------------------|-----------:|--------------------------:|--------------:|--------------:|---------------:|
| 2025 | 4   | Б | 95,4 | 77,4 | 94,1 | 98,1 | 99,7 |
| 2024 | 4   | Б | 96,1 | 76,3 | 95   | 98,9 | 99,6 |
| 2023 | 3.  | Б | 89,3 | 36,2 | 86,3 | 96   | 96   |
| 2025 | 10  | П | 67,1 | 9,5  | 46,4 | 87,6 | 95,9 |
| 2024 | 10  | П | 75,2 | 7,1  | 60,1 | 91,1 | 98   |
| 2023 | 9.  | П | 72,1 | 4,8  | 57,3 | 92,2 | 97,6 |


### 3. Содержательный анализ выполнения задания, проверяющего умение "уметь использовать приобретённые знания и умения в практической деятельности и повседневной жизни":

| год | Номер задания в КИМ | Уровень сложности задания | средний, % | не преодолели минимум, % | до 60 т.б., % | 61–80 т.б., % | 81–100 т.б., % |
|-----|----------------------|----------------------------|-----------:|--------------------------:|--------------:|--------------:|---------------:|
|2025|5|П|64,8|17,9|46,4|81,7|93,6|
|2024|5|П|64,9|12,6|47,7|80,5|88|
|2023|4.|П|69,8|9,5|54,2|90,4|96|
|2025|9|П|79,2|13,9|67,7|94,7|97,4|
|2024|9|П|69,2|21,7|58,7|77,8|92|
|2023|8.|П|82,1|22,9|73,3|95,3|98,4|


### 4. Содержательный анализ выполнения задания, проверяющего умение "уметь выполнять вычисления и преобразования":

| год | Номер задания в КИМ | Уровень сложности задания | средний, % | не преодолели минимум, % | до 60 т.б., % | 61–80 т.б., % | 81–100 т.б., % |
|-----|----------------------|----------------------------|-----------:|--------------------------:|--------------:|--------------:|---------------:|
|2025|7|Б|89,1|39,3|83,7|98,5|99,5|
|2024|7|Б|59|7,1|32,9|78,4|94,8|
|2023|6.|Б|69,2|11,4|51,2|92,2|100|


### 5. Содержательный анализ выполнения задания, проверяющего умение "уметь решать уравнения и неравенства":

| год | Номер задания в КИМ | Уровень сложности задания | средний, % | не преодолели минимум, % | до 60 т.б., % | 61–80 т.б., % | 81–100 т.б., % |
|-----|----------------------|----------------------------|-----------:|--------------------------:|--------------:|--------------:|---------------:|
|2025|6|Б|91,4|36,9|89,1|99,2|99,5|
|2024|6|Б|98|83,8|97,9|99,4|100|
|2023|5.|Б|96,9|45,7|97,4|99,7|100|


### 6. Содержательный анализ выполнения задания, проверяющего умение "уметь выполнять действия с функциями":

